Cote;Type;DataType;Dates;Titre;Sous-titre;Auteur;Destinataire;Sujet;Description;Notes;Résumé;Éditeur;Localisation;Droits;Ayants-droit;Format;Langue;État génétique;Relations génétiques;Autres ressources en relation;Nature du document;Support;État général;Publication;Représentation;Contexte géographique;Lieu d'expédition;Type de publication;Titre de la publication;Lieu de publication;Numéro de la publication;Périodicité;Directeur de la publication;Auteur analyse;Date analyse;Auteur description;Date création notice;Auteur révision;Date révision notice;Auteur transcription
 MX-F-31;Photos;Picture;1906-1930;Margarita Xirgu;;undetermined;;Margarita Xirgu;Photo  Maragarita Xirgu;The original file is called:margxirgu3.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;391 × 606 21,4 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipM78E2QC4ubG8gfvfmO5sm0T5SByP_TIk-AkFGm?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3  (Last consultation:  2020-04-21);;Undetermined;;;;;;;;;;;;;;
 MX-F-32;Photos;Picture;1906-1930;Margarita Xirgu;;undetermined;;Margarita Xirgu;Margarita Xirgu acting ‘’La reina Joves’’;The original file is called: margxirgu5.jpg;;Responsible for the file: Familia de Maragrita Xirgu (fondo de los hermanos Xiru)  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;266 × 600 28,7 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipPMUZvZn5bw_9LncUEbofHd03g9zFFaikO51HeO?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3  (Last consultation: h 2020-04-21);;Undetermined;;;;;;;;;;;;;;
 MX-F-33;Photos;Picture;19964;Margarita Xirgu;;undetermined;;Margarita Xirgu;Photo of Maragarita Xirgu mayor, at her home in Montevideo;The original file is called: margxirgu6.jpg;;Responsible for the file: Familia de Maragrita Xirgu (fondo de los hermanos Xiru)  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;479 × 600 69,1 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipPE4uCHojzA3hfC-LGVIiAHNrKp80jmMmTnwU15?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3  (Last consultation: 2020-04-21);;Montevideo;;;;;;;;;;;;;;
 MX-F-34;Photos;Picture;1930-1960;Margarita Xirgu;;undetermined;;Margarita Xirgu;Picture of Margarita Xirgu with a group of people;The original file is called: margxirgu7.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;435 × 600 73,7 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipN2WI_lRZ6aQTx0AIh8iWghUhNpFEXTI9Ga73Wz?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3  (Last consultation: 2020-04-21);;Uruguay | Montevideo;;;;;;;;;;;;;;
 MX-F-35;Photos;Picture;1940-1960;Margarita Xirgu;;undetermined;;Margarita Xirgu;Photo of Maragarita Xirgu performing;The original file is called:margxirgu8.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;600 × 436 61 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipOat_934jT3KsfCH1-_TZyGd4BpodqgVS_kIZqU?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3  (Last consultation: 2020-04-21);;Undetermined;;;;;;;;;;;;;;
 MX-F-36;Photos;Picture;1906-1940;Margarita Xirgu;;undetermined;;Margarita Xirgu;Photo of Maragarita Xirgu performing in an unrecognized performance;The original file is called: margxirgu9.jpg;;Responsible for the file: Familia de Maragrita Xirgu (fondo de los hermanos Xiru)  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;435 × 600 73,7 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipPSTYM22ZzbzK-5NoYsevCbf9NXrrjXgED_NjCc?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3  (Last consultation: 2020-04-21);;Undetermined;;;;;;;;;;;;;;
 MX-F-37;Photos;Picture;1906-1930;Margarita Xirgu;;undetermined;;Margarita Xirgu;Photo de una pancarta  para una actuacion de Margarita Xirgu en el Principal Palace; The original file is called: mxirgu.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;223 × 350 16,6 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNPpZMMlw5uMcuRHGSA9kN6AZ_gyw-In-blOEjV?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3  (Last consultation: 2020-04-21);;Undetermined;;;;;;;;;;;;;;
 MX-F-38;Photos;Picture;1906-1930;Margarita Xirgu;;undetermined;;Picture of Margarita Xirgu performing;Photo Maragarita Xirgu;The original file is called:  solis1.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;452 × 600 63 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNzdqT5A6N1bLwPSymqwAt1kL5mA1NBddsLy9hb?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3  (Last consultation: 2020-04-21);;Undetermined;;;;;;;;;;;;;;
 MX-F-39;Photos;Picture;1906-1931;Margarita Xirgu  ‘’la Dama de las Camelias’’;;undetermined;;Picture of Margarita Xirgu performing;Photo of Maragarita Xirgu performing in: ‘’la Dama de las Camelias’’;The original file is called: : xirgu1.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;417 × 640 44,7 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipMBAA6t82pkaOILDa3oH_8t_ikcD26E6zKKhijtY3ng9pLVno5EhKWo2kGryRUtVw/photo/AF1QipP0J-JkU-jqAUUirJvwUceoJYykcGkY68X23CiO?key=UUdESTA5UTF1RElhQmVlVXVyQzRWZERwUnlkbGZB  (Last consultation: 2020-04-21);;Undetermined;;;;;;;;;;;;;;
 MX-F-40;Photos;Picture;1906-1930;photos de Margarita xirgu ‘’Magda’’;;undetermined;;Picture of Margarita Xirgu performing;Photo of Margarita Xirgu in the foreground acting ''Magda’’;The original file is called:  xirgu10.jpg;;Responsible for the file: Familia de Maragrita Xirgu (fondo de los hermanos Xiru)  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;400 × 634 36,4 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipMBAA6t82pkaOILDa3oH_8t_ikcD26E6zKKhijtY3ng9pLVno5EhKWo2kGryRUtVw/photo/AF1QipMyfjMp0HCQuzskID-EZJKHBIudokklO5b-ouHl?key=UUdESTA5UTF1RElhQmVlVXVyQzRWZERwUnlkbGZB  (Last consultation: 2020-04-22);;Undetermined;;;;;;;;;;;;;;
 MX-F-41;Photos;Picture;1906-1930;Margarita  Xirgu la’’ Reina Jove’’;;undetermined;;Picture of Margarita Xirgu performing; Photo of Margarita Xirgu acting: ’’ la la reina Joves’’;The original file is called:  xirgu11.jpg;;Responsible for the file: Familia de Maragrita Xirgu (fondo de los hermanos Xiru)  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;640 × 405 40,3 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipMBAA6t82pkaOILDa3oH_8t_ikcD26E6zKKhijtY3ng9pLVno5EhKWo2kGryRUtVw/photo/AF1QipMEdN80AbdO4_2rlaaTqUB46n33ie4CApeyL76L?key=UUdESTA5UTF1RElhQmVlVXVyQzRWZERwUnlkbGZB  (Last consultation: 2020-04-22);;Spain;;;;;;;;;;;;;;
 MX-F-42;Photos;Picture;1906-1930;Margarita  Xirgu Teodora;;undetermined;;Picture of Margarita Xirgu performing;Photo of Maragarita Xirgu in the foreground dressed in a tunic acting ''Teodora’’;The original file is called:  xirgu12.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;388 × 638 37,7 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipMBAA6t82pkaOILDa3oH_8t_ikcD26E6zKKhijtY3ng9pLVno5EhKWo2kGryRUtVw/photo/AF1QipOaC1fPNlRMID0-fhfkVM_M-P9K-M_24a__I0_-?key=UUdESTA5UTF1RElhQmVlVXVyQzRWZERwUnlkbGZB  (Last consultation: 2020-04-22);;Undetermined;;;;;;;;;;;;;;
 MX-F-43;Photos;Picture;1906-1930;Margarita Xirgu  ‘’la Dama de las Camelias’’;;undetermined;;Picture of Margarita Xirgu performing;Photo of Maragarita Xirgu performing :‘’La Dama de Las Camelias’’;The original file is called: xirgu14.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;413 × 640 43,7 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipMBAA6t82pkaOILDa3oH_8t_ikcD26E6zKKhijtY3ng9pLVno5EhKWo2kGryRUtVw/photo/AF1QipMR2vD3ZxGWeEzLq-gt1tHi8vD74gRorh8cIivG?key=UUdESTA5UTF1RElhQmVlVXVyQzRWZERwUnlkbGZB  (Last consultation: 2020-04-22);;Undetermined;;;;;;;;;;;;;;
 MX-F-44;Photos;Picture;1906-1930;Margarita  Xirgu la’’ Magda’’;;undetermined;;Picture of Margarita Xirgu performing;Photo of Margarita Xirgu in the foreground acting ''Magda'';The original file is called: xirgu3.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;397 × 640 46,4 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipMBAA6t82pkaOILDa3oH_8t_ikcD26E6zKKhijtY3ng9pLVno5EhKWo2kGryRUtVw/photo/AF1QipP3cK3d8RKwGDDZd_ibQBbZifRWJtUd37b_hXWg?key=UUdESTA5UTF1RElhQmVlVXVyQzRWZERwUnlkbGZB  (Last consultation: 2020-04-22);;Undetermined;;;;;;;;;;;;;;
 MX-F-45;Photos;Picture;1906-1931;Margarita  Xirgu ‘’Magda’’;;undetermined;;Picture of Margarita Xirgu performing;Photo of Margarita Xirgu in the foreground acting ''Magda'';The original file is called:  xirgu4.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;392 × 634 35,8 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipMBAA6t82pkaOILDa3oH_8t_ikcD26E6zKKhijtY3ng9pLVno5EhKWo2kGryRUtVw/photo/AF1QipPOX61F2U2vA5AYoC4YE3Zk0SofiK2lneO7kqAV?key=UUdESTA5UTF1RElhQmVlVXVyQzRWZERwUnlkbGZB  (Last consultation: 2020-04-22);;Undetermined;;;;;;;;;;;;;;
 MX-F-46;Photos;Picture;1906-1932;Margarita  Xirgu la’’ Teodora’’;;undetermined;;Picture of Margarita Xirgu performing;Photo of Margarita Xirgu in the foreground acting ‘’Teodora’;The original file is called:  xirgu5.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;404 × 636 57,4 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipMBAA6t82pkaOILDa3oH_8t_ikcD26E6zKKhijtY3ng9pLVno5EhKWo2kGryRUtVw/photo/AF1QipPH7aw1Qgrov6Yj3SuZUnAh76jKlblNXav11xbA?key=UUdESTA5UTF1RElhQmVlVXVyQzRWZERwUnlkbGZB  (Last consultation: 2020-04-22);;Undetermined;;;;;;;;;;;;;;
 MX-F-47;Photos;Picture;1906-1933;Margarita  Xirgu la’’ Magda’’;;undetermined;;Picture of Margarita Xirgu performing;Photo of Margarita Xirgu in the foreground acting : ‘’Magda’’;The original file is called:  xirgu6.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;392 × 640 46,8 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipMBAA6t82pkaOILDa3oH_8t_ikcD26E6zKKhijtY3ng9pLVno5EhKWo2kGryRUtVw/photo/AF1QipNFx3zwlBIPwT7ecbeweNa3xRJiBzR1pmfJdFKS?key=UUdESTA5UTF1RElhQmVlVXVyQzRWZERwUnlkbGZB  (Last consultation: 2020-04-22);;Undetermined;;;;;;;;;;;;;;
 MX-F-48;Photos;Picture;1906-1934;a  Xirgu la’’ La verga Baja’’;;undetermined;;Picture of Margarita Xirgu performing;Photo of Margarita Xirgu in the foreground acting :’’ La verga Baja’’;The original file is called: xirgu7.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;390 × 628 39,2 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipMBAA6t82pkaOILDa3oH_8t_ikcD26E6zKKhijtY3ng9pLVno5EhKWo2kGryRUtVw/photo/AF1QipO0WAeEuhLg7pcixAUcHiAc6rlIjYP7V__JQqm3?key=UUdESTA5UTF1RElhQmVlVXVyQzRWZERwUnlkbGZB  (Last consultation: 2020-04-25);;Undetermined;;;;;;;;;;;;;;
 MX-F-49;Photos;Picture;1906-1935;Margarita Xirgu  ‘’la Dama de las Camelias’’;;undetermined;;Picture of Margarita Xirgu performing;Photo of Margarita Xirgu in the foreground acting : ‘’La Dama de Las Camelias’’;The original file is called:  xirgu8.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;390 × 638 37,5 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipMBAA6t82pkaOILDa3oH_8t_ikcD26E6zKKhijtY3ng9pLVno5EhKWo2kGryRUtVw/photo/AF1QipNXxRjPzvjlWMtIpr3YG_jC4G4yak_rujFGZmSR?key=UUdESTA5UTF1RElhQmVlVXVyQzRWZERwUnlkbGZB  (Last consultation: 2020-04-224;;Barcelona;;;;;;;;;;;;;;
 MX-F-50;Photos;Picture;1929;Margarita Xirgu;;undetermined;;Photo of Margarita Xirgu's theatre company in 1929;Photo of Margarita Xirgu's theatre company in 1929;The original file is called:  Photo_1.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;640 × 520 58 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNvihti8gu4pVsvPL838lIfgSm0kbab1FKbHPIgbA0IP5WMq-KNwv5cdl8Z6FWSjA/photo/AF1QipMwkkFHBs0icerjdBZn27rfagnpWw2Dkqzlg66w?key=dktOYlIyMmZvTkRndmNPM2VVYVhyXzBBTVVmaWt3   (Last consultation: 2020-04-25);;Sevilla;;;;;;;;;;;;;;
 MX-F-51;Photos;Picture;1915-1930;Margarita Xirgu and  Benito Perez Galdos;;undetermined;;Picture of  Margarita Xirgu and  Benito Perez Galdos;Photo by Margarita Xirgu and Benito Perez Galdos;The original file is called:  Photo_4_perez_galdos_i_mx.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;482 × 640 49,4 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNvihti8gu4pVsvPL838lIfgSm0kbab1FKbHPIgbA0IP5WMq-KNwv5cdl8Z6FWSjA/photo/AF1QipMNaVKGcAszyX8n1_yfYvXl0eaZDrahCg0ipC0O?key=dktOYlIyMmZvTkRndmNPM2VVYVhyXzBBTVVmaWt3  (Last consultation: 2020-04-25);;Undetermined;;;;;;;;;;;;;;
 MX-F-52;Photos;Picture;1920-1930;photo retratato de Margarita Xirgu;;undetermined;;Portrait photo of Margarita Xirgu;Photo portrait of Margarita Xirgu between 25-30 years;The original file is called: Photo_5.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;423 × 640 31,4 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNvihti8gu4pVsvPL838lIfgSm0kbab1FKbHPIgbA0IP5WMq-KNwv5cdl8Z6FWSjA/photo/AF1QipPE7mOoMwp4XIAmLDmChDTMA_dzJsFsuqbR8vqM?key=dktOYlIyMmZvTkRndmNPM2VVYVhyXzBBTVVmaWt3  (Last consultation: 2020-04-25);;Undetermined;;;;;;;;;;;;;;
 MX-F-53;Photos;Picture;1921;photo retratato de Margarita Xirgu;;undetermined;;Picture of  Margarita Xirgu in 1921;Portrait of Marguerite Xirgu dated 10 December 1921 at the age of 33, dedicated to her cousin Nieves Creix de Massot.;The original file is called:  Photo_7.jpg;;Responsible for the file: Familia de Maragrita Xirgu (Arxiu familiar Laura Prats) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;482 × 640 45,7 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNvihti8gu4pVsvPL838lIfgSm0kbab1FKbHPIgbA0IP5WMq-KNwv5cdl8Z6FWSjA/photo/AF1QipOg9jlTPGI0r562Y6U26EDjkVuOgxcgy_Hau0oM?key=dktOYlIyMmZvTkRndmNPM2VVYVhyXzBBTVVmaWt3  (Last consultation: 2020-04-25);;Undetermined;;;;;;;;;;;;;;
 MX-F-54;Photos;Picture;1910-1940;Photo of  Mragarita Xirgu;;undetermined;;Picture of  Margarita Xirgu;Photo of  Margarita Xirgu;The original file is called:  Photo_8.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;"365 × 640
18,3 ko";;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNvihti8gu4pVsvPL838lIfgSm0kbab1FKbHPIgbA0IP5WMq-KNwv5cdl8Z6FWSjA/photo/AF1QipOg9jlTPGI0r562Y6U26EDjkVuOgxcgy_Hau0oM?key=dktOYlIyMmZvTkRndmNPM2VVYVhyXzBBTVVmaWt3  (Last consultation: 2020-04-25);;Undetermined;;;;;;;;;;;;;;
 MX-F-55;Photos;Picture;1930-1940;Rivas Cherif y Margarita Xirgu rodeados de actores;;undetermined;;Rivas Cherif y Margarita Xirgu sourounded by actors;Rivas Cherif and Margarita Xirgu surrounded by actors;The original file is called: 9.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;640 × 471 61,6 ko;;;;;File JPG;Digital;Badly damaged;https://photos.google.com/share/AF1QipNvihti8gu4pVsvPL838lIfgSm0kbab1FKbHPIgbA0IP5WMq-KNwv5cdl8Z6FWSjA/photo/AF1QipP99IMrEAZD_r2haF40SDirvfxAZm1YPhfMfx2K?key=dktOYlIyMmZvTkRndmNPM2VVYVhyXzBBTVVmaWt3  (Last consultation:  2020-04-25);;Undetermined;;;;;;;;;;;;;;
 MX-F-56;Photos;Picture;1956;Margarita  Xirgu y Miquel Ortín;;undetermined;;Margarita  Xirgu and Miquel Ortín;Dedicated photo by Margarita Xirgu and Miquel Ortín;The original file is calledoto 17.jpgma;;Responsible for the file: Familia de Maragrita Xirgu (Responsible for the file: Familia de Maragrita Xirgu (fondo de los hermanos Xiru)  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université))  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;480 × 640 52 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNvihti8gu4pVsvPL838lIfgSm0kbab1FKbHPIgbA0IP5WMq-KNwv5cdl8Z6FWSjA/photo/AF1QipPBPfolZuOntHDa2t1vl8ogs8RtG4wm_7GiQR5L?key=dktOYlIyMmZvTkRndmNPM2VVYVhyXzBBTVVmaWt3 (Last consultation:  2020-04-25);;Undetermined;;;;;;;;;;;;;;
 MX-F-57;Photos;Picture;1910-1920;Miquel Xirgu Subirà;;undetermined;;Miquel Xirgu Subirà;Photo by Miquel Xirgu Subirà, brother of Maragarita Xirgu;The original file is called: Photo_11.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;426 × 640 34,4 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNvihti8gu4pVsvPL838lIfgSm0kbab1FKbHPIgbA0IP5WMq-KNwv5cdl8Z6FWSjA/photo/AF1QipOgfVTFHZaWZLR6DhcfAapWo2bbnE-MPNE1gd_g?key=dktOYlIyMmZvTkRndmNPM2VVYVhyXzBBTVVmaWt3 (Last consultation:  2020-04-25);;Undetermined;;;;;;;;;;;;;;
 MX-F-58;Photos;Picture;1950-1969;Photo of  Mragarita Xirgu;;undetermined;;Picture of Margarita Xirgu as a senior Lady;Photo of Margarita Xirgu with a group of people;The original file is called: Photo_12.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;640 × 415 56,2 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNvihti8gu4pVsvPL838lIfgSm0kbab1FKbHPIgbA0IP5WMq-KNwv5cdl8Z6FWSjA/photo/AF1QipMjHuZj-b4kgXsBGXz1wDlr7Uj_fGgtC0Dh8Elw?key=dktOYlIyMmZvTkRndmNPM2VVYVhyXzBBTVVmaWt3 (Last consultation:  2020-04-25);;Undetermined;;;;;;;;;;;;;;
 MX-F-59;Photos;Picture;1930-1950;Un siglo para las mujeres;;undetermined;;Picture of Mragarita Xiru with a group of children;Picture of Mragarita Xiru with a group of children;The original file is called:  Photo_14.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;640 × 479 56,9 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNvihti8gu4pVsvPL838lIfgSm0kbab1FKbHPIgbA0IP5WMq-KNwv5cdl8Z6FWSjA/photo/AF1QipPxNoe-Uv9JdqLWrrngAly7hdjlVYfm7h3MpLKy?key=dktOYlIyMmZvTkRndmNPM2VVYVhyXzBBTVVmaWt3 (Last consultation:  2020-04-25);;Undetermined;;;;;;;;;;;;;;
